norm_key,ulcm_substance_raw,atc_codes,ulcm_rows,is_combination,role,n_suppliers,n_countries,top_country,top_country_share,hhi_country,single_country,eu_eea_share,countries
glyceryl trinitrate,GLYCERYL TRINITRATE,C01DA02,1,False,api_cep,1.0,1.0,DE,1.0,10000.0,True,1.0,DE
haloperidol,HALOPERIDOL,N05AD01,1,False,api_cep,8.0,4.0,IN,0.625,4375.0,False,0.375,BE|DE|IE|IN
hemin,HUMAN HEMIN,B06AB01,1,False,,,,,,,,,
heparin,HEPARIN,B01AB01,1,False,api_cep,3.0,2.0,CN,0.6666666666666666,5555.6,False,0.3333333333333333,CN|PT
hepatitis a vaccine,HEPATITIS A VACCINE,J07BC02,1,False,,,,,,,,,
hepatitis b immunoglobulin,HUMAN HEPATITIS B IMMUNOGLOBULIN,J06BB04,1,False,batch_release,1.0,1.0,DE,1.0,10000.0,True,1.0,DE
hepatitis b immunoglobulin,HUMAN HEPATITIS B IMMUNOGLOBULIN,J06BB04,1,False,bio_api,1.0,1.0,DE,1.0,10000.0,True,1.0,DE
hepatitis b vaccine,HEPATITIS B VACCINE,J07BC01,1,False,,,,,,,,,
hydrocortisone,HYDROCORTISONE,H02AB09,1,False,api_cep,15.0,6.0,CN,0.4666666666666667,2888.9,False,0.3333333333333333,CN|ES|FR|IN|IT|US
hydrocortisone,HYDROCORTISONE,H02AB09,1,False,batch_release,4.0,2.0,FR,0.5,5000.0,False,1.0,FR|IE
hydroxocobalamin,HYDROXOCOBALAMIN,B03BA03|V03AB33,2,False,api_cep,3.0,3.0,CN,0.3333333333333333,3333.3,False,0.3333333333333333,CN|FR|MX
hydroxocobalamin,HYDROXOCOBALAMIN,B03BA03|V03AB33,2,False,batch_release,3.0,2.0,FR,0.6666666666666666,5555.6,False,1.0,BE|FR
hydroxycarbamide,HYDROXYCARBAMIDE,L01XX05,1,False,api_cep,4.0,3.0,IT,0.5,3750.0,False,0.5,CN|IN|IT
hydroxycarbamide,HYDROXYCARBAMIDE,L01XX05,1,False,batch_release,3.0,3.0,DE,0.3333333333333333,3333.3,False,1.0,DE|FR|IE
ibrutinib,IBRUTINIB,L01EL01,1,False,batch_release,2.0,2.0,BE,0.5,5000.0,False,1.0,BE|IT
idarubicin,IDARUBICIN,L01DB06,1,False,,,,,,,,,
idarucizumab,IDARUCIZUMAB,V03AB37,1,False,batch_release,3.0,2.0,FR,0.6666666666666666,5555.6,False,1.0,DE|FR
idarucizumab,IDARUCIZUMAB,V03AB37,1,False,bio_api,1.0,1.0,DE,1.0,10000.0,True,1.0,DE
ifosfamide,IFOSFAMIDE,L01AA06,1,False,api_cep,2.0,2.0,CN,0.5,5000.0,False,0.5,CN|PL
imiglucerase,IMIGLUCERASE,A16AB02,1,False,batch_release,1.0,1.0,IE,1.0,10000.0,True,1.0,IE
