atc_code,atc_level1,role,n_substances,n_suppliers,n_ulcm_substances,n_countries,top_country,top_country_share,hhi_country,eu_eea_share
A10AE57,A,mah_national,2,1,0,,,,,
A10B,A,mah_national,3,3,0,,,,,
A10BA,A,mah_national,1,5,0,,,,,
A10BA02,A,mah_national,1,8,0,,,,,
A10BB,A,mah_national,2,6,0,,,,,
A10BB01,A,api_cep,1,9,0,5,IN,0.4444,2839.5,0.4444
A10BB01,A,mah_national,1,1,0,,,,,
A10BB09,A,mah_national,1,5,0,,,,,
A10BD,A,mah_national,11,4,0,,,,,
A10BD05,A,batch_release,1,3,0,3,ES,0.3333,3333.3,1.0
A10BD05,A,mah_national,2,1,0,,,,,
A10BD06,A,batch_release,1,3,0,3,DE,0.3333,3333.3,1.0
A10BD06,A,mah_national,2,1,0,,,,,
A10BD07,A,batch_release,1,6,0,5,NL,0.3333,2222.2,1.0
A10BD07,A,mah_national,3,13,0,,,,,
A10BD08,A,batch_release,1,9,0,7,ES,0.2222,1604.9,1.0
A10BD08,A,mah_national,4,2,0,,,,,
A10BD09,A,batch_release,1,1,0,1,IE,1.0,10000.0,1.0
A10BD09,A,mah_national,2,1,0,,,,,
A10BD10,A,batch_release,1,2,0,2,GB,0.5,5000.0,0.5
A10BD10,A,mah_national,2,1,0,,,,,
A10BD11,A,batch_release,1,2,0,2,DE,0.5,5000.0,1.0
A10BD11,A,mah_national,2,2,0,,,,,
A10BD13,A,batch_release,1,1,0,1,IE,1.0,10000.0,1.0
A10BD13,A,mah_national,2,1,0,,,,,
A10BD15,A,batch_release,1,1,0,1,SE,1.0,10000.0,1.0
A10BD15,A,mah_national,2,2,0,,,,,
A10BD16,A,batch_release,1,1,0,1,IT,1.0,10000.0,1.0
A10BD19,A,batch_release,1,2,0,1,DE,1.0,10000.0,1.0
A10BD19,A,mah_national,2,1,0,,,,,
A10BD20,A,batch_release,1,6,0,3,FR,0.5,3888.9,1.0
A10BD20,A,mah_national,2,1,0,,,,,
A10BD21,A,batch_release,1,1,0,1,SE,1.0,10000.0,1.0
A10BD21,A,mah_national,2,1,0,,,,,
A10BD23,A,batch_release,1,1,0,1,NL,1.0,10000.0,1.0
A10BD23,A,mah_national,2,1,0,,,,,
A10BD24,A,batch_release,1,2,0,2,BE,0.5,5000.0,1.0
A10BD24,A,mah_national,2,1,0,,,,,
A10BG,A,mah_national,2,4,0,,,,,
A10BG03,A,api_cep,1,6,0,2,IN,0.8333,7222.2,0.0
A10BG03,A,batch_release,1,7,0,7,DE,0.1429,1428.6,1.0
A10BG03,A,mah_national,1,5,0,,,,,
A10BH,A,mah_national,7,7,0,,,,,
A10BH01,A,api_cep,1,30,0,5,IN,0.7,5200.0,0.1
A10BH01,A,batch_release,1,6,0,4,NL,0.5,3333.3,1.0
A10BH01,A,mah_national,2,9,0,,,,,
A10BH02,A,batch_release,1,4,0,3,SI,0.5,3750.0,1.0
A10BH02,A,mah_national,1,2,0,,,,,
A10BH03,A,api_cep,1,2,0,1,IN,1.0,10000.0,0.0
A10BH03,A,batch_release,1,2,0,2,GB,0.5,5000.0,0.5
A10BH03,A,mah_national,2,1,0,,,,,
A10BH04,A,batch_release,1,1,0,1,IE,1.0,10000.0,1.0
A10BH04,A,mah_national,1,1,0,,,,,
A10BH05,A,batch_release,1,3,0,2,DE,0.6667,5555.6,1.0
A10BH05,A,mah_national,1,8,0,,,,,
A10BJ01,A,batch_release,1,3,0,3,GB,0.3333,3333.3,0.6667
A10BJ01,A,mah_national,1,1,0,,,,,
A10BJ02,A,batch_release,1,2,0,2,DK,0.5,5000.0,1.0
A10BJ02,A,bio_api,1,1,0,1,DK,1.0,10000.0,1.0
A10BJ02,A,mah_national,1,2,0,,,,,
A10BJ05,A,batch_release,1,2,0,2,FR,0.5,5000.0,1.0
A10BJ05,A,bio_api,1,2,0,2,IE,0.5,5000.0,0.5
A10BJ06,A,batch_release,1,2,0,2,DK,0.5,5000.0,1.0
A10BJ06,A,bio_api,1,3,0,3,DK,0.3333,3333.3,0.6667
A10BJ06,A,mah_national,1,1,0,,,,,
A10BK,A,mah_national,5,4,0,,,,,
A10BK01,A,batch_release,2,4,0,4,DE,0.25,2500.0,0.75
A10BK01,A,mah_national,4,6,0,,,,,
A10BK02,A,batch_release,1,1,0,1,IT,1.0,10000.0,1.0
A10BK02,A,mah_national,1,1,0,,,,,
A10BK03,A,batch_release,1,5,0,3,DE,0.4,3600.0,1.0
A10BK03,A,mah_national,1,2,0,,,,,
A10BK04,A,batch_release,1,2,0,2,BE,0.5,5000.0,1.0
A10BK04,A,mah_national,1,1,0,,,,,
A10BX,A,mah_national,7,7,0,,,,,
A10BX02,A,api_cep,1,13,0,5,IN,0.6923,5029.6,0.2308
A10BX02,A,batch_release,1,13,0,11,DE,0.1538,1005.9,1.0
A10BX02,A,mah_national,1,4,0,,,,,
A10BX03,A,api_cep,1,2,0,1,IN,1.0,10000.0,0.0
A10BX04,A,mah_national,1,1,0,,,,,
A10BX07,A,mah_national,1,1,0,,,,,
A10BX09,A,mah_national,1,1,0,,,,,
A10BX12,A,mah_national,1,1,0,,,,,
A10BX16,A,batch_release,1,5,0,4,IE,0.4,2800.0,1.0
A10BX16,A,mah_national,1,1,0,,,,,
A10XX01,A,batch_release,1,1,0,1,NL,1.0,10000.0,1.0
A10XX01,A,bio_api,1,1,0,1,US,1.0,10000.0,0.0
A10XX01,A,mah_national,1,1,0,,,,,
A11BA,A,mah_national,16,3,0,,,,,
