product_id,product_name,licence_number,licence_holder,atc_code,matched_critical_atc,mfr_company,mfr_address,mfr_country,pdf_url
29577,Esomeprazole Ticerin 40 mg powder for solution for injection or infusion,PA1852/002/001,Laboratorios Azevedos Industria Farmaceutica S.A.,"A02BC Proton pump inhibitors, A02BC05 esomeprazole",A02BC05,"Sofarimex – Indústria Química e Farmacêutica, S.A.","Av. das Indústrias, Alto do Colaride
2735-213 Cacém",Portugal,https://assets.hpra.ie/products/Human/29577/8b817743-e2b1-440d-b00c-079e94fb15b4.pdf
26402,Cefotaxime 1g Powder for solution for injection or infusion,PA0281/223/002,Pinewood Laboratories Ltd,"J01DD Third-generation cephalosporins, J01DD01 cefotaxime",J01DD01,"Labesfal - Laboratorios Almiro, S.A.","Zona Industrial do Lagedo, Santiago de Besteiros, 3465-157",Portugal,https://assets.hpra.ie/products/Human/26402/ba39f199-d5c5-4e9d-8a5e-ac2edbf07178.pdf
24458,Engerix B 20 micrograms / 1 ml Suspension for injection in pre-filled syringe Hepatitis B (rDNA) vaccine (adsorbed) (HBV),PA1077/023/002,GlaxoSmithKline (Ireland) Limited,"J07BC Hepatitis vaccines, J07BC01 hepatitis B, purified antigen",J07BC01,GlaxoSmithKline Biologicals s.a.,"Rue de l' Institut 89, B-1330 Rixensart",Belgium,https://assets.hpra.ie/products/Human/24458/00d645af-43a4-4815-aef4-b41102d6dc05.pdf
24375,Anapen 500 micrograms / 0.3 ml solution for injection in a pre-filled syringe,PA22580/001/003,Bioprojet Pharma,"C01CA Adrenergic and dopaminergic agents, C01CA24 epinephrine",C01CA24,"Owen Mumford Limited | 
LYOFAL - SALON DE PROVENCE, Owen Mumford Limited","Primsdown Industrial Estate,
Worcester Road, Chipping Norton,
Oxfordshire OX7 5XP,
| ZA La Gandonne,
452 rue du Rémoulaire, SALON DE PROVENCE,
13300",United Kingdom | France,https://assets.hpra.ie/products/Human/24375/71ce200c-1b85-4e33-83ef-b219ea9bd008.pdf
24372,Anapen Junior 150 micrograms in 0.3 ml solution for injection in a pre- filled syringe,PA22580/001/001,Bioprojet Pharma,"C01CA Adrenergic and dopaminergic agents, C01CA24 epinephrine",C01CA24,"Owen Mumford Limited | 
LYOFAL - SALON DE PROVENCE, Owen Mumford Limited","Primsdown Industrial Estate,
Worcester Road, Chipping Norton,
Oxfordshire OX7 5XP,
| ZA La Gandonne,
452 rue du Rémoulaire, SALON DE PROVENCE,
13300",United Kingdom | France,https://assets.hpra.ie/products/Human/24372/ed05c5a2-cae2-41b8-a93f-bf2b1f3f842a.pdf
29050,Tipol 500 mg suppositories,PA0126/331/004,Clonmel Healthcare Ltd,"N02BE Anilides, N02BE01 paracetamol",N02BE01,bene-Arzneimittel GmbH,"Herterichstrasse 1-3, D-81479 Munich",Germany,https://assets.hpra.ie/products/Human/29050/068a3c63-e8b7-4294-839d-f345499dbbb1.pdf
26397,Prednisolone 5 mg soluble tablets,PA1142/034/001,Amdipharm Limited,"H02AB Glucocorticoids, H02AB06 prednisolone",H02AB06,RAFARM S.A.,"Thesi Pousi-Xatzi, Agiou Louka, Paiania Attiki",Greece,https://assets.hpra.ie/products/Human/26397/b0e17913-b81a-4213-b1f2-dfbe19623abb.pdf
41702,Yimmugo,PA0592/009/001,Biotest Pharma GmbH,"J06BA02 immunoglobulins, normal human, for intravascular adm.",J06BA02,Biotest Pharma GmbH,"Landsteinerstrasse 5, 63303 Dreieich",Germany,https://assets.hpra.ie/products/Human/41702/81f271a9-5a7b-49ee-9cad-34464519c48e.pdf
30609,"Humulin S (Soluble), 100 IU / ml Solution for Injection in cartridge",PA2276/001/004,Eli Lilly Nederland B.V.,A10AB01 insulin (human),A10AB01,Lilly France S.A.S.,"Rue du Colonel Lilly, 67640 Fegersheim",France,https://assets.hpra.ie/products/Human/30609/9b5bd2bc-f8a4-4f21-a788-adfa05056b37.pdf
23846,Grafalon 20 mg / ml concentrate for solution for infusion,PA1015/001/001,Neovii Biotech GmbH,"L04AA Selective immunosuppressants, L04AA04 antithymocyte immunoglobulin (rabbit)",L04AA04,Neovii Biotech GmbH,"Am Haag 6 + 7, 82166 Gräfelfing",Germany,https://assets.hpra.ie/products/Human/23846/e317b7d6-dfd5-4a6e-99c2-a382529e0251.pdf
27953,Nimotop 0.02% w / v Concentrate for Solution for Infusion,PA25299/001/002,Laboratoire X.O,"C08CA Dihydropyridine derivatives, C08CA06 nimodipine",C08CA06,Bayer AG | KVP Pharma + Veterinä,"Kaiser-Wilhelm-Allee
51368 Leverkusen | Produkte
24105 Kiel",Germany | Germany,https://assets.hpra.ie/products/Human/27953/c955490a-3365-4ccb-b779-0d43dd8d9410.pdf
19191,Hepatect CP 50 IU / ml solution for infusion,PA0592/005/004,Biotest Pharma GmbH,"J06BB Specific immunoglobulins, J06BB04 hepatitis B immunoglobulin",J06BB04,Biotest Pharma GmbH,"Landsteinerstrasse 5
63303 Dreieich",Germany,https://assets.hpra.ie/products/Human/19191/196bf973-517f-4976-9830-57d48ff80a3a.pdf
24732,"Fluarix Tetra suspension for injection in pre-filled syringe Influenza vaccine (split virion, inactivated)",PA1077/134/001,GlaxoSmithKline (Ireland) Limited,"J07BB Influenza vaccines, J07BB02 influenza, inactivated, split virus or surface antigen",J07BB02,GlaxoSmithKline Biologicals,"Branch of SmithKline Beecham Pharma Gm, Zirkusstrasse 40, D-01069, Dresden",Germany,https://assets.hpra.ie/products/Human/24732/1f885584-b255-488b-b79a-85e2f901739d.pdf
19193,"Intratect 100 g / L, solution for infusion",PA0592/007/002,Biotest Pharma GmbH,"J06BA Immunoglobulins, normal human, J06BA02 immunoglobulins, normal human, for intravascular adm.",J06BA02,Biotest Pharma GmbH,"Landsteinerstrasse 5, 63303 Dreieich",Germany,https://assets.hpra.ie/products/Human/19193/3f6ebf0c-cc95-44ac-9da7-55f88d3d0f58.pdf
27660,Etoposide 20 mg / ml Concentrate for Solution for Infusion,PA2315/201/001,Accord Healthcare Ireland Ltd.,"L01CB Podophyllotoxin derivatives, L01CB01 etoposide",L01CB01,Accord Healthcare Polska Sp.z o.o.,"ul. Lutomierska 50, 95-200 Pabianice",Poland,https://assets.hpra.ie/products/Human/27660/b1464f5f-35de-4ade-8e5c-2569f2f21d1e.pdf
29579,Vancomycin 500 mg powder for concentrate for solution for infusion,PA1852/004/001,Laboratorios Azevedos Industria Farmaceutica S.A.,"J01XA Glycopeptide antibacterials, J01XA01 vancomycin",J01XA01,"Sofarimex – Indústria Química e Farmacêutica, S.A.","Av. das Indústria, Alto de Colaride, 2735-213 Cacém",Portugal,https://assets.hpra.ie/products/Human/29579/36592558-293e-47c0-a8bb-982fed21fa8d.pdf
29580,Vancomycin 1000 mg powder for concentrate for solution for infusion,PA1852/004/002,Laboratorios Azevedos Industria Farmaceutica S.A.,"J01XA Glycopeptide antibacterials, J01XA01 vancomycin",J01XA01,"Sofarimex – Indústria Química e Farmacêutica, S.A.","Av. das Indústria, Alto de Colaride, 2735-213 Cacém",Portugal,https://assets.hpra.ie/products/Human/29580/cf8e011e-26b0-4b80-919c-989715a1598a.pdf
25765,Jext 300 micrograms solution for injection in pre-filled pen,PA1255/006/002,ALK-Abello A/S,"C01CA Adrenergic and dopaminergic agents, C01CA24 epinephrine",C01CA24,ALK-Abelló S.A.,"Miguel Fleta 19, ES-28037 Madrid",Spain,https://assets.hpra.ie/products/Human/25765/49e6c2f5-c133-4765-b891-5b2c7ed87c0b.pdf
36313,Midazolam Rowa 5 mg oromucosal solution,PA0074/099/002,"Rowa Pharmaceuticals Limited,",N05CD08 midazolam,N05CD08,Laboratorios Liconsa S.A.,"Av. de Miralcampo, 7
19200 Azuqueca de Henares
Guadalajara",Spain,https://assets.hpra.ie/products/Human/36313/a6392ea5-6165-433f-b6ca-e478eadb81cc.pdf
37645,Epistatus 7.5 mg oromucosal solution,PA20595/002/004,SERB S.A.,N05CD08 midazolam,N05CD08,"MoNo chem-pharm Produkte GmbH | Torbay and South Devon NHS Foundation Trust
Torbay Pharmaceuticals","Leystraβe 129, 1200 Vienna | Wilkins Drive
Paignton TQ4 7FG",Austria | United Kingdom,https://assets.hpra.ie/products/Human/37645/8e83b185-b7e6-41ca-bbab-75f4103d527f.pdf
19274,Thymoglobuline 25 mg powder for solution for infusion,PA0611/003/001,Sanofi B.V.,"L04AA Selective immunosuppressants, L04AA04 antithymocyte immunoglobulin (rabbit)",L04AA04,Sanofi Winthrop Industrie | Genzyme Ireland Ltd,"23 boulevard Chambaud de la Bruyère
69007 Lyon | IDA Industrial Park
Old Kilmeaden Road
Waterford",France | Ireland,https://assets.hpra.ie/products/Human/19274/99ddf442-b756-4f01-9e00-8bcb2030046d.pdf
36861,Epistatus 10 mg oromucosal solution,PA20595/002/001,SERB S.A.,N05CD08 midazolam,N05CD08,"MoNo chem-pharm Produkte GmbH | Torbay and South Devon NHS Foundation Trust
Torbay Pharmaceuticals","Leystraβe 129, 1200 Vienna | Wilkins Drive
Paignton TQ4 7FG",Austria | United Kingdom,https://assets.hpra.ie/products/Human/36861/01fa6a39-7bc9-46cd-8ebc-e36265422c84.pdf
37644,Epistatus 5 mg oromucosal solution,PA20595/002/003,SERB S.A.,N05CD08 midazolam,N05CD08,"MoNo chem-pharm Produkte GmbH | Torbay and South Devon NHS Foundation Trust
Torbay Pharmaceuticals","Leystraβe 129, 1200 Vienna | Wilkins Drive
Paignton TQ4 7FG",Austria | United Kingdom,https://assets.hpra.ie/products/Human/37644/c1bc7b07-39be-4761-bd44-d88341347a90.pdf
36315,Midazolam Rowa 10 mg oromucosal solution,PA0074/099/004,"Rowa Pharmaceuticals Limited,",N05CD08 midazolam,N05CD08,Laboratorios Liconsa S.A.,"Av. de Miralcampo, 7
19200 Azuqueca de Henares
Guadalajara",Spain,https://assets.hpra.ie/products/Human/36315/a0b42ebe-c4bd-4475-a3ae-4a29d85e276b.pdf
30408,Atracurium besilate 10 mg / ml solution for injection / infusion,PA2165/001/001,AS Kalceks,"M03AC Other quaternary ammonium compounds, M03AC04 atracurium",M03AC04,Akciju sabiedrība “Kalceks”,"Krustpils iela 71E, Rīga, LV-1057",Latvia,https://assets.hpra.ie/products/Human/30408/da6c74aa-6b7e-4b50-8d34-89b6eb1a91d0.pdf
26020,Esmeron 10 mg / ml solution for injection / infusion,PA1286/058/001,Merck Sharp & Dohme Ireland (Human Health) Limited,"M03AC Other quaternary ammonium compounds, M03AC09 rocuronium bromide",M03AC09,Merck Sharp & Dohme B.V.,"Waarderweg 39, 2031 BN Haarlem",Netherlands,https://assets.hpra.ie/products/Human/26020/077c7373-6cb5-4af1-8e9a-6f09cac268c0.pdf
21962,Zavedos 1 mg / ml solution for injection,PA0822/142/005,Pfizer Healthcare Ireland Unlimited Company,"L01DB Anthracyclines and related substances, L01DB06 idarubicin",L01DB06,Pfizer Service Company BV,"Hoge Wei, 10, B-1930 Zaventem",Belgium,https://assets.hpra.ie/products/Human/21962/8238fd2f-e743-4128-bb5f-b603b33f470c.pdf
37608,Epistatus 2.5 mg oromucosal solution,PA20595/002/002,SERB S.A.,N05CD08 midazolam,N05CD08,"MoNo chem-pharm Produkte GmbH | Torbay and South Devon NHS Foundation Trust
Torbay Pharmaceuticals","Leystraβe 129, 1200 Vienna | Wilkins Drive
Paignton TQ4 7FG",Austria | United Kingdom,https://assets.hpra.ie/products/Human/37608/8ff26fca-6dd7-4e79-8ded-822914d59a5c.pdf
