substance_raw,norm_key,is_combination,atc_codes,atc_level1,atc_origin,supplier_name,supplier_norm,supplier_id,country_iso2,source,role,status,cep_type,norm_trace
Enoxaparin sodium,enoxaparin,False,B01AB05,B,native,PCO Manufacturing Ltd.,pco manufacturing,PPA0465/477/003,,hpra,mah_national,authorised,,stripped trailing 'sodium'
Enoxaparin sodium,enoxaparin,False,B01AB|B01AB05,B,native,Sanofi-Aventis Ireland Limited T/A SANOFI,sanofi aventis ireland t a sanofi,PA0540/097/006,,hpra,mah_national,authorised,,stripped trailing 'sodium'
Enoxaparin sodium,enoxaparin,False,B01AB05,B,native,PCO Manufacturing Ltd.,pco manufacturing,PPA0465/477/004,,hpra,mah_national,authorised,,stripped trailing 'sodium'
Enoxaparin sodium,enoxaparin,False,B01AB|B01AB05,B,native,Sanofi-Aventis Ireland Limited T/A SANOFI,sanofi aventis ireland t a sanofi,PA0540/097/007,,hpra,mah_national,authorised,,stripped trailing 'sodium'
Enoxaparin sodium,enoxaparin,False,B01AB05,B,native,PCO Manufacturing Ltd.,pco manufacturing,PPA0465/477/005,,hpra,mah_national,authorised,,stripped trailing 'sodium'
Enoxaparin sodium,enoxaparin,False,B01AB|B01AB05,B,native,Sanofi-Aventis Ireland Limited T/A SANOFI,sanofi aventis ireland t a sanofi,PA0540/097/008,,hpra,mah_national,authorised,,stripped trailing 'sodium'
Enoxaparin sodium,enoxaparin,False,B01AB|B01AB05,B,native,Sanofi-Aventis Ireland Limited T/A SANOFI,sanofi aventis ireland t a sanofi,PA0540/097/002,,hpra,mah_national,authorised,,stripped trailing 'sodium'
Clindamycin,clindamycin,False,D10AF51,D,native,Aspire Pharma (Malta) Limited,aspire malta,PA23142/015/001,,hpra,mah_national,authorised,,
Anhydrous Benzoyl Peroxide,anhydrous benzoyl peroxide,False,D10AF51,D,native,Aspire Pharma (Malta) Limited,aspire malta,PA23142/015/001,,hpra,mah_national,authorised,,
CLINDAMYCIN PHOSPHATE,clindamycin,False,J01FF|J01FF01,J,native,Fresenius Kabi Deutschland GmbH,fresenius kabi deutschland,PA2059/007/001,,hpra,mah_national,authorised,,stripped trailing 'phosphate'
CLINDAMYCIN PHOSPHATE,clindamycin,False,J01FF01,J,native,AS Kalceks,kalceks,PA2165/021/001,,hpra,mah_national,authorised,,stripped trailing 'phosphate'
CLINDAMYCIN PHOSPHATE,clindamycin,False,J01FF01,J,native,Noridem Enterprises Limited,noridem enterprises,PA1122/033/001,,hpra,mah_national,authorised,,stripped trailing 'phosphate'
Clindamycin hydrochloride,clindamycin,False,J01FF01,J,native,Renata Pharmaceuticals (Ireland) Limited,renata ireland,PA22865/004/002,,hpra,mah_national,authorised,,stripped trailing 'hydrochloride'
Clindamycin,clindamycin,False,D10AF|D10AF01|G01AA|G01AA10|J01F,D|G|J,native,EG (Eurogenerics),eg eurogenerics,PA25213/001/001,,hpra,mah_national,authorised,,
Clindamycin hydrochloride,clindamycin,False,J01FF01,J,native,Renata Pharmaceuticals (Ireland) Limited,renata ireland,PA22865/004/003,,hpra,mah_national,authorised,,stripped trailing 'hydrochloride'
Clindamycin hydrochloride,clindamycin,False,J01FF01,J,native,Renata Pharmaceuticals (Ireland) Limited,renata ireland,PA22865/004/001,,hpra,mah_national,authorised,,stripped trailing 'hydrochloride'
L-leucine,l leucine,False,B05BA|B05BA01,B,native,Baxter Holding B.V.,baxter holding b v,PA2299/020/001,,hpra,mah_national,authorised,,
L-phenylalanine,l phenylalanine,False,B05BA|B05BA01,B,native,Baxter Holding B.V.,baxter holding b v,PA2299/020/001,,hpra,mah_national,authorised,,
L-methionine,l methionine,False,B05BA|B05BA01,B,native,Baxter Holding B.V.,baxter holding b v,PA2299/020/001,,hpra,mah_national,authorised,,
L-isoleucine,l isoleucine,False,B05BA|B05BA01,B,native,Baxter Holding B.V.,baxter holding b v,PA2299/020/001,,hpra,mah_national,authorised,,
L-valine,l valine,False,B05BA|B05BA01,B,native,Baxter Holding B.V.,baxter holding b v,PA2299/020/001,,hpra,mah_national,authorised,,
L-histidine,l histidine,False,B05BA|B05BA01,B,native,Baxter Holding B.V.,baxter holding b v,PA2299/020/001,,hpra,mah_national,authorised,,
L-threonine,l threonine,False,B05BA|B05BA01,B,native,Baxter Holding B.V.,baxter holding b v,PA2299/020/001,,hpra,mah_national,authorised,,
L-tryptophan,l tryptophan,False,B05BA|B05BA01,B,native,Baxter Holding B.V.,baxter holding b v,PA2299/020/001,,hpra,mah_national,authorised,,
L-alanine,l alanine,False,B05BA|B05BA01,B,native,Baxter Holding B.V.,baxter holding b v,PA2299/020/001,,hpra,mah_national,authorised,,
Glycine,glycine,False,B05BA|B05BA01,B,native,Baxter Holding B.V.,baxter holding b v,PA2299/020/001,,hpra,mah_national,authorised,,
L-proline,l proline,False,B05BA|B05BA01,B,native,Baxter Holding B.V.,baxter holding b v,PA2299/020/001,,hpra,mah_national,authorised,,
L-serine,l serine,False,B05BA|B05BA01,B,native,Baxter Holding B.V.,baxter holding b v,PA2299/020/001,,hpra,mah_national,authorised,,
L-tyrosine,l tyrosine,False,B05BA|B05BA01,B,native,Baxter Holding B.V.,baxter holding b v,PA2299/020/001,,hpra,mah_national,authorised,,
Sodium acetate trihydrate,sodium acetate,False,B05BA|B05BA01,B,native,Baxter Holding B.V.,baxter holding b v,PA2299/020/001,,hpra,mah_national,authorised,,stripped trailing 'trihydrate'
Dibasic potassium phosphate,dibasic,False,B05BA|B05BA01,B,native,Baxter Holding B.V.,baxter holding b v,PA2299/020/001,,hpra,mah_national,authorised,,stripped trailing 'phosphate'; stripped trailing 'potassium'
Sodium chloride,sodium chloride,False,B05BA|B05BA01,B,native,Baxter Holding B.V.,baxter holding b v,PA2299/020/001,,hpra,mah_national,authorised,,salt-strip skipped (electrolyte): sodium chloride
Magnesium chloride hexahydrate,magnesium chloride,False,B05BA|B05BA01,B,native,Baxter Holding B.V.,baxter holding b v,PA2299/020/001,,hpra,mah_national,authorised,,stripped trailing 'hexahydrate'
Calcium chloride dihydrate,calcium chloride,False,B05BA|B05BA01,B,native,Baxter Holding B.V.,baxter holding b v,PA2299/020/001,,hpra,mah_national,authorised,,stripped trailing 'dihydrate'
Glucose monohydrate,glucose,False,B05BA|B05BA01,B,native,Baxter Holding B.V.,baxter holding b v,PA2299/020/001,,hpra,mah_national,authorised,,stripped trailing 'monohydrate'
Clobazam,clobazam,False,N05BA09,N,native,Brown & Burk IR Limited,brown burk ir,PA23148/009/001,,hpra,mah_national,authorised,,
Clobazam,clobazam,False,N05BA09,N,native,Brown & Burk IR Limited,brown burk ir,PA23148/009/002,,hpra,mah_national,authorised,,
Clobazam,clobazam,False,N05BA09,N,native,Essential Pharmaceuticals Limited,essential,PA22662/004/001,,hpra,mah_national,authorised,,
Clobazam,clobazam,False,N05BA|N05BA09,N,native,Syri Pharma Limited t/a Thame Laboratories,syri t a thame laboratories,PA22697/006/002,,hpra,mah_national,authorised,,
Clobazam,clobazam,False,N05BA|N05BA09,N,native,Syri Pharma Limited t/a Thame Laboratories,syri t a thame laboratories,PA22697/006/001,,hpra,mah_national,authorised,,
Clopidogrel hydrochloride,clopidogrel,False,B01AC|B01AC04,B,native,"Rowex Limited,",rowex,PA0711/166/001,,hpra,mah_national,authorised,,stripped trailing 'hydrochloride'
Clomiphene citrate,clomiphene,False,G03GB|G03GB02,G,native,Fidia Farmaceutici S.p.A.,fidia farmaceutici,PA0814/004/001,,hpra,mah_national,authorised,,stripped trailing 'citrate'
CHLORPROMAZINE HYDROCHLORIDE,chlorpromazine,False,N05AA|N05AA01,N,native,Clonmel Healthcare Ltd,clonmel healthcare,PA0126/026/002,,hpra,mah_national,authorised,,stripped trailing 'hydrochloride'
CHLORPROMAZINE HYDROCHLORIDE,chlorpromazine,False,N05AA|N05AA01,N,native,Clonmel Healthcare Ltd,clonmel healthcare,PA0126/026/003,,hpra,mah_national,authorised,,stripped trailing 'hydrochloride'
